,site_code,year,habitat.type,plot,ppt_ambient,ppt_drought,n_treat_days,perc_reduction,ppt_drought730,precip,AI,drtpct_map,drtpct_map730,amb_pct,amb_abspct,drtpct_map100,habitat.num,Extreme,Extreme.num,X,mass_category,prop.ave
29,bayrdrt.de,2016,Grassland,10,695.7,417.42,417,40,493.3799984,724,0.8438,-0.423453039,-0.318535914,-0.039088398,0.039088398,-42.34530387,1,Extr,1,6,GRAMINOID,0.651682923
30,bayrdrt.de,2016,Grassland,9,695.7,417.42,417,40,493.3799984,724,0.8438,-0.423453039,-0.318535914,-0.039088398,0.039088398,-42.34530387,1,Extr,1,6,GRAMINOID,0.651682923
31,brokenh.au,2017,Grassland,6,123.2,43.12,383,65,354.85,283,0.1876,-0.847632509,0.253886926,-0.564664311,0.564664311,-84.76325088,1,Extr,1,8,GRAMINOID,0.255411503
32,brokenh.au,2017,Grassland,4,123.2,43.12,383,65,354.85,283,0.1876,-0.847632509,0.253886926,-0.564664311,0.564664311,-84.76325088,1,Extr,1,8,GRAMINOID,0.255411503
33,brookdale.ca,2018,Grassland,2,348.3870968,236.9032258,470,32,489.6652903,474.2,0.6085,-0.50041496,0.032613434,-0.265316118,0.265316118,-50.04149604,1,Extr,1,9,GRAMINOID,0.473131578
34,brookdale.ca,2018,Grassland,4,348.3870968,236.9032258,470,32,489.6652903,474.2,0.6085,-0.50041496,0.032613434,-0.265316118,0.265316118,-50.04149604,1,Extr,1,9,GRAMINOID,0.473131578
35,brookdale.ca,2018,Grassland,3,348.3870968,236.9032258,470,32,489.6652903,474.2,0.6085,-0.50041496,0.032613434,-0.265316118,0.265316118,-50.04149604,1,Extr,1,9,GRAMINOID,0.473131578
36,brookdale.ca,2018,Grassland,5,348.3870968,236.9032258,470,32,489.6652903,474.2,0.6085,-0.50041496,0.032613434,-0.265316118,0.265316118,-50.04149604,1,Extr,1,9,GRAMINOID,0.473131578
37,brookdale.ca,2018,Grassland,1,348.3870968,236.9032258,470,32,489.6652903,474.2,0.6085,-0.50041496,0.032613434,-0.265316118,0.265316118,-50.04149604,1,Extr,1,9,GRAMINOID,0.473131578
38,capmcd.us,2020,Shrubland,13,264.4,89.896,376,66,294.134,204,0.1872,-0.559333333,0.441833333,0.296078431,0.296078431,-55.93333333,2,NotExtreme,0,11,GRAMINOID,0.306061159
39,capmcd.us,2020,Shrubland,9,264.4,89.896,376,66,294.134,204,0.1872,-0.559333333,0.441833333,0.296078431,0.296078431,-55.93333333,2,NotExtreme,0,11,GRAMINOID,0.306061159
40,capmcd.us,2020,Shrubland,8,264.4,89.896,376,66,294.134,204,0.1872,-0.559333333,0.441833333,0.296078431,0.296078431,-55.93333333,2,NotExtreme,0,11,GRAMINOID,0.306061159
41,capmcd.us,2020,Shrubland,12,264.4,89.896,376,66,294.134,204,0.1872,-0.559333333,0.441833333,0.296078431,0.296078431,-55.93333333,2,NotExtreme,0,11,GRAMINOID,0.306061159
42,capmcd.us,2020,Shrubland,3,264.4,89.896,376,66,294.134,204,0.1872,-0.559333333,0.441833333,0.296078431,0.296078431,-55.93333333,2,NotExtreme,0,11,GRAMINOID,0.306061159
43,capmcd.us,2020,Shrubland,1,264.4,89.896,376,66,294.134,204,0.1872,-0.559333333,0.441833333,0.296078431,0.296078431,-55.93333333,2,NotExtreme,0,11,GRAMINOID,0.306061159
44,capmcd.us,2020,Shrubland,5,264.4,89.896,376,66,294.134,204,0.1872,-0.559333333,0.441833333,0.296078431,0.296078431,-55.93333333,2,NotExtreme,0,11,GRAMINOID,0.306061159
45,capwhite.us,2020,Shrubland,8,344.7,117.198,373,66,253.59,204,0.1309,-0.4255,0.243088235,0.689705882,0.689705882,-42.55,2,NotExtreme,0,12,GRAMINOID,0.523246132
46,capwhite.us,2020,Shrubland,5,344.7,117.198,373,66,253.59,204,0.1309,-0.4255,0.243088235,0.689705882,0.689705882,-42.55,2,NotExtreme,0,12,GRAMINOID,0.523246132
47,capwhite.us,2020,Shrubland,11,344.7,117.198,373,66,253.59,204,0.1309,-0.4255,0.243088235,0.689705882,0.689705882,-42.55,2,NotExtreme,0,12,GRAMINOID,0.523246132
