"","site_code","Extreme","mean_DS3","DS3LowerCI","DS3UpperCI","mean_drt","drtLowerCI","drtUpperCI"
"41","hyide.de","Shrubland_NotExtreme",-1.21089109867077,-5.34386133708955,2.92207913974801,-0.33142382,-0.33142382,-0.33142382
"42","jorndrt.us","Grassland_Extr",-0.106766736615295,-0.496946787243655,0.283413314013066,-0.833636514,-0.833636514,-0.833636514
"43","jrnchi.us","Shrubland_NotExtreme",-0.0724269379063446,-0.335590556299006,0.190736680486316,-0.615600973,-0.615600973,-0.615600973
"44","kernb.ca","Grassland_NotExtreme",-0.0257097156838612,-0.54656184665188,0.495142415284158,-0.252982754,-0.252982754,-0.252982754
"45","kernnu.ca","Grassland_NotExtreme",0.250364888322673,-0.46330639166136,0.964036168306705,-0.252982754,-0.252982754,-0.252982754
"46","kinsella.ca","Grassland_NotExtreme",-0.276595362204996,-0.637931491420838,0.0847407670108448,-0.216694565,-0.216694565,-0.216694565
"47","kiskun.hu","Grassland_NotExtreme",-0.0891619874029065,-0.256988476499149,0.0786645016933358,0.057114094,0.057114094,0.057114094
"48","konzadrt.us","Grassland_NotExtreme",-0.174706463849282,-0.508796594451034,0.159383666752469,-0.285542169,-0.285542169,-0.285542169
"49","lygraint.no","Shrubland_NotExtreme",0.57810357940956,0.0106888066387639,1.14551835218036,0.040868397,0.040868397,0.040868397
"50","lygraold.no","Shrubland_NotExtreme",-0.313681301347556,-0.945871687806524,0.318509085111413,0.040868397,0.040868397,0.040868397
"51","lygrayng.no","Shrubland_NotExtreme",0.373408781087951,-0.020034922293702,0.766852484469603,0.040868397,0.040868397,0.040868397
"52","marcdrt.ar","Grassland_NotExtreme",-0.102223206440232,-0.672375522429912,0.467929109549448,0.033570428,0.033570428,0.033570428
"53","matador.ca","Grassland_NotExtreme",-0.24634619448605,-1.13206805419061,0.639375665218513,-0.29874442,-0.29874442,-0.29874442
"54","matta.il","Shrubland_Extr",-0.478499744181877,-0.947372265697332,-0.00962722266642241,-0.664503784,-0.664503784,-0.664503784
"55","mattheis.ca","Grassland_Extr",-0.121849505674352,-0.495687837519743,0.251988826171039,-0.402494607,-0.402494607,-0.402494607
"56","milparinka.au","Grassland_NotExtreme",-0.00315142171318681,-2.28228627523872,2.27598343181235,-0.584010417,-0.584010417,-0.584010417
